,Veg Mess Menu (1st and 3rd Week),,,,,,
,,,,,,,
,,,,,,,
Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
BF (Time),8:00AM-10:00 AM,8:00AM-10:00 AM,8:00AM-10:00 AM,8:00AM-10:00 AM,8:00AM-10:00 AM,8:00AM-10:00 AM,8:00AM-10:00 AM
Basic Meal Items,Poori + Potato Onion Masala,Onion Uttapam+ Sambhar + Peanut Chutney ,Aloo onion Paratha ( 2 + 1 ) + Pudina Chutney & Sauce + curd,Idli+Vada+Coconut Chutney+Sambhar (carrot+drumstick+brinjal+beans),Poha+ White Matar Curry + Onion cut + Tomato cut,Ragi Dosa + Peanut Chutney + Sambhar (carrot+drumstick+brinjal+beans),Vegetable Pasta + Tomato Ketchup
Bread Items,Coleslaw sandwich + Green Chutney,Bread (4 pcs) + Butter + Jam,Bread(4 pcs)+ Butter +Jam,Bread(4 pcs)+ Butter +Jam,Veg Corn Sandwich + Green Chutney,Bread(4 pcs)+ Butter +Jam,Aaloo Sandwich + Green Chutney 
Beverages (150ml),"Tea + Milk + Coffee powder
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) ","Tea + Milk + Coffee powder)
 + Suger (Additional) "
Cereals (150gms),Chocos,Cornflex,Muesli,Chocos,Cornflex,Muesli,Oats
Fruits/Eggs,Banana,sweet corn,Banana,Banana,Banana,Sprouts (germinated),Sprouts (germinated)
,,,,,,,
Lunch(Time),12:30PM-2:30PM,12:30PM-2:30PM,12:30PM-2:30PM,12:30PM-2:30PM,12:30PM-2:30PM,12:30PM-2:30PM,12:30PM-2:30PM
Vegitable Gravy / dry,Soya keema,Kadi Onion Pakoda + Onion Aloo Choka,Lassoni corn palak curry,Brocolli ,Sarso Saag,Chole,Mixed veg
Dal,Arhar dal + Jeera Tadka ,Gongura Dal,Arhar dal + jeera tadka,Masoor dal,Chana Dal,,Musoor Dal 
Rice,Steam Rice ,Steam Rice,Jeera Rice,Steam Rice ,Steam Rice,Veg Pulao,Steam Rice
Fryems,Aplam ,Aplam,Fryums,Aplam ,Fryums,Aplam,Fryums
Rasam/Sambhar,,Pudina Chutney,,Sambhar ,Tomato+lasson Chutney,,Sambhar
Salad,Mix-Salad,Mix-Salad,Mix-Salad,Mix-Salad,Mix-Salad,Mix-Salad,Mix-Salad
Chapati(Phulka / Tawa Roti ),Chapati( Ghee Roti ),Chapati( Ghee Roti ),Chapati( Ghee Roti ),Chapati( Ghee Roti ),Chapati( Ghee Roti ),Bhature,Chapati( Ghee Roti )
Curd Items (150ml),Curd ( 150gm),Buttermilk,curd ( 150g ),Curd ( 150gm),Curd ( 150gm),Mix - veg raita,Curd ( 150gm)
Fruits (150gms),orange,pear,chiku,gauava,papaya,apples,seasonal fruits 
Snacks(Time),5:00 PM - 6:00PM,5:00 PM - 6:00PM,5:00 PM - 6:00PM,5:00 PM - 6:00PM,5:00 PM - 6:00PM,5:00 PM - 6:00PM,5:00 PM - 6:00PM
Beverages (150ml),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita),Tea + Milk (Coffee Powder + Bournvita)
,,,,,,,
Dinner(Time),8:00PM-10:00 PM,8:00PM-10:00 PM,8:00PM-10:00 PM,8:00PM-10:00 PM,8:00PM-10:00 PM,8:00PM-10:00 PM,8:00PM-10:00 PM
Vegitable gravy/dry,Palak Paneer,Kathal Sabji,Panner Jalfrezzi,Aloo Methi + Palak,Shahi Paneer,Mixed Veg Jalfrezi,"Paneer Dum Biryani +
 1 additional scoop rice+ Onion Raita (150ml) + Gravy"
Dal,Moong dal + Tadka ,Arhar Dal + Jeera Tadka ,Moong Dal,Rajma,Arhar Dal + Jeera Tadka,Dal Makhni,
Rice,Peas Rice ,Jeera Rice ,Steam Rice ,Jeera Rice,Steam Rice,Peas Rice ,
Breads,Chapati( Ghee Roti ),Chapati(Ghee Roti ),Chapati(Phulka ),Chapati (Ghee Roti ),Chapati(Phulka ),Chapati(Ghee Roti ),
Salad,Mixed-Salad,Mixed-Salad,Mixed-Salad,Mixed-Salad,Mixed-Salad,Mixed-Salad,Mixed-salad
Fryems ,Mix Papad ,Aplam,Papad ,Fryums,Aplam,Fryums,
Rasam / Chutney ,,Pudina Chutney ,,tomato soup,Lasun Chutney ,hot and sour soup,
Sweet,Fruit Custard,Moong Dal Halwa,Gulab Jamun (2 pcs),sewai,Jalebi,Kheer,Sahi Tukda
